"occ_id","smell","severity","code_name","snippet_lines","review_excerpt","judge_justification","author_denial_type","author_reason","author_long_method_main_issue","author_oracle_inconsistent","author_judge_error","author_notes"
"4240","data class","major","org.apache.maven.scm.provider.perforce.PerforceScmProvider","482","**3. `PerforceScmProviderRepository` as a Potential Data Class** While not shown in this file, the usage pattern of `PerforceScmProviderRepository` suggests it may be a data holder with little behavior of its own. The provider class frequently accesses its fields directly and passes them to utility methods for further processing. If the repository class only exposes getters and setters, it risks becoming a ""data class,"" with all logic living elsewhere. **Why it matters:** Data classes are less …","The response explicitly denies the presence of the target smell (Data Class) in the targeted snippet, which is confirmed by the oracle to be present; this is a misleading denial.","no_reason","","yes","no","no",""
"4284","data class","major","org.apache.jena.sparql.expr.ExprList","146","**Review Comments** 1. **Method Complexity in `split`** The private static `split` method recursively explodes a chain of logical AND expressions into a flat list. While the method is not excessively long, it combines recursion, mutation of the output list, and a loop that mutates its input parameter (`expr`). This makes the control flow somewhat subtle, especially since the recursion is not tail-recursive and the method mutates both its arguments and its own local state. This approach can make…","The response denies the presence of the confirmed Data Class smell, which is present per the oracle.","with_reason","has domain behavior (isSatisfied, applyNodeTransform, splitConjunction)","no","no","no",""
"4439","data class","critical","org.apache.cayenne.template.parser.ExpressionNode","13","- **Long Method:** All methods are single-line signatures with no implementation, so there is no concern about method length or complexity. - **Feature Envy:** As an interface, `ExpressionNode` does not contain any logic that could exhibit excessive interest in another class's data or behavior. - **Data Class:** The interface does not declare any fields or provide getters/setters; it is not a data holder.","The response denies the presence of the confirmed Data Class smell in the targeted snippet, triggering the Misleading category.","with_reason","interface with no fields or accessors","no","yes: interface, no fields, only abstract methods","no",""
"5190","data class","major","org.apache.commons.jelly.tags.define.TagTag","26","**3. Data Class Concerns** While the class does have a single property (`name`) with a getter and setter, it also contains behavior (`doTag`) that operates on this data and interacts with the tag library. The class is not a passive data holder; it encapsulates both data and the logic for registering a tag. There is no indication that this class is being manipulated in detail by other classes, nor does it expose only getters and setters without behavior. Thus, it does not exhibit the characteris…","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading given the oracle's ground truth.","with_reason","has behavior (doTag) operating on its own data","no","no","no",""
"5550","data class","major","org.springframework.security.access.intercept.aopalliance.MethodSecurityInterceptor","49","**3. Not a Data Class** While the class does have a single field (`securityMetadataSource`) with corresponding getter and setter methods, it also contains meaningful behavior in the form of the `invoke` method and the implementation of the security interception workflow. The class is not merely a holder of data; it actively participates in the security enforcement process. Therefore, it does not exhibit the characteristics of a data class as described by Fowler.","The response explicitly denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the codebook.","with_reason","has behavior (invoke) implementing the interception workflow","no","no","no",""
"5553","data class","critical","org.springframework.ide.eclipse.aop.core.model.IAopReferenceModel","35","3. **No Data Class Concerns**","The response denies the presence of the confirmed Data Class smell, which is present per the oracle.","with_reason","interface is purely behavioral, declares no fields","no","yes: interface, no fields, no accessors","no",""
"5796","data class","critical","org.springframework.web.context.support.ServletContextAttributeFactoryBean","45","**3. Data Class Concerns** While the class does have two fields (`attributeName` and `attribute`) with corresponding setter and getter logic, it is not a passive data holder. The class encapsulates the logic for retrieving and exposing the servlet context attribute, and it participates in the Spring lifecycle via `ServletContextAware`. There is no evidence that this class is being manipulated in detail by other classes, nor does it simply expose getters and setters without behavior. The class i…","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","encapsulates attribute retrieval; participates in the Spring lifecycle","no","no","no",""
"5805","data class","critical","org.apache.cxf.jaxrs.rx2.client.FlowableRxInvoker","78","- **Long Method**: All methods are single-line signatures with no implementation. There is no method body to become excessively long or complex. - **Feature Envy**: As an interface, there is no logic that could operate on data belonging to other classes. All methods are abstract and do not reference or manipulate any external state. - **Data Class**: The interface does not define any fields or state, nor does it provide getters or setters. It is not a data holder.","The response explicitly denies the presence of the Data Class smell, which is confirmed by the oracle to be present (critical severity).","with_reason","interface defines no fields or state","no","yes: interface, no fields, only abstract methods","no",""
"5930","data class","major","org.apache.tinkerpop.gremlin.structure.Property.Exceptions","41","**1. Interface Contains Only Accessors and Mutators, but Not a Data Class** While the interface primarily defines accessors (`key()`, `value()`, `isPresent()`, `element()`) and a mutator (`remove()`), it does not itself constitute a ""data class"" in the sense of Fowler's definition. The interface prescribes behavior but does not hold or expose data directly. The actual data holding and manipulation would be in the implementing classes. Thus, there is no issue here regarding the interface being a…","The response explicitly denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","with_reason","static factory class for exceptions; holds no data","no","yes: static utility class with private constructor, no fields, only static factory methods","no",""
"6254","data class","major","com.epam.wilma.service.configuration.StubConfiguration","141","**2. The class is cohesive and not a passive data holder** Upon review, the `StubConfiguration` class is not simply a data holder. It encapsulates behavior related to stub configuration management and does not expose its internal state via getters/setters. All methods perform meaningful actions, and the class is not being manipulated in detail by other classes. There is no evidence of the class being a ""data class"" in the sense described by Fowler.","The response explicitly denies the presence of the target smell (""There is no evidence of the class being a 'data class' in the sense described by Fowler""), which is confirmed by the oracle to be present; thus, this is a denial and classified as Misleading.","with_reason","encapsulates behavior; does not expose state via accessors","yes","no","no",""
"6363","data class","critical","org.apache.drill.common.expression.fn.JodaDateValidator","203","**2. The Class Is Not a Data Class, but the Enum Is Well-Encapsulated** The main class (`JodaDateValidator`) is not a data class; it contains both data (the mapping and constants) and behavior (the conversion logic). The `PostgresDateTimeConstant` enum, however, is well-encapsulated, holding both the token data and relevant properties (such as `hasCamelCasing`). There is no evidence of the class being a passive data holder. **Why it matters:** This is a positive aspect, as it keeps data and beh…","The response denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","with_reason","holds both the data and the conversion behavior","yes","no","no",""
"6405","data class","critical","com.google.j2cl.common.Problems","203","**3. Enum `FatalError` as a Data Holder** The `FatalError` enum is used to represent different fatal error types, each with a message template and argument count. It provides getters for these fields but no behavior beyond message formatting. *Evidence:* ```java public enum FatalError { FILE_NOT_FOUND(""File '%s' not found."", 1), ... private final String message; private final int numberOfArguments; ... public String getMessage() { return message; } private int getNumberOfArguments() { return nu…","The response denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","with_reason","encapsulates data (multimap) and behavior (logging, reporting, aborting)","yes","no","no",""
"6424","data class","major","org.apache.flink.runtime.jobmaster.factories.DefaultJobMasterServiceFactory","59","**4. Not a Data Class** While the class does hold a number of dependencies as fields and exposes no behavior beyond construction and factory method, it is not a ""data class"" in the problematic sense. Its purpose is to encapsulate the wiring of dependencies for `JobMaster` creation, not to act as a passive data holder. The class does not expose its fields via getters or setters, and its only public method is the factory method. This aligns with the intended use of a factory in object-oriented de…","The response denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","dependency-wiring factory; fields not exposed via getters/setters","no","no","no",""
"7110","data class","major","org.apache.sis.internal.jaxb.code.DQ_EvaluationMethodTypeCode","56","**3. Data Class Concerns** The class does not act as a passive data holder. While it does have a field (`identifier`, presumably inherited from `CodeListAdapter`), it is not simply exposing getters and setters for its own fields. Instead, it provides behavior specific to JAXB adaptation, and the data it manages is encapsulated within this behavior. There is no evidence of the class being a ""data class"" in the sense of Fowler's definition.","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","JAXB adapter with behavior; data encapsulated inside the adaptation","no","no","no",""
"7611","data class","major","org.springframework.statemachine.region.Region","89","The interface does not declare any fields or provide getters/setters in the sense of a data class. While it does expose methods for retrieving state and transition collections, as well as identifiers, these are appropriate for the abstraction and do not reduce the interface to a mere data holder. The interface is not a data class; it defines behavior and contract, not data structure.","The response denies the presence of the confirmed Data Class smell, which is misleading given the oracle's ground truth.","with_reason","interface defines a behavior contract, not a data structure","no","yes: interface, no fields","no",""
"7686","data class","major","org.apache.skywalking.oap.server.core.analysis.data.LimitedSizeDataCollection","92","**2. The Class Holds Both Data and Behavior Appropriately** The class is not a passive data holder; it encapsulates both the data structure and the logic for managing it. All manipulation of the internal state is done through methods on the class itself, and there are no public getters or setters for the internal map or lists. This is a positive sign: the class is not a ""data class"" in the sense of Fowler's definition, and there is no evidence that logic operating on the data is scattered elsew…","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","encapsulates the data structure and the logic that manages it","yes","no","no",""
"9748","data class","critical","org.eclipse.texlipse.builder.XelatexRunner","36","3. **No Data Class Smell**","The response explicitly denies the presence of the Data Class smell, which is confirmed by the oracle to be present in the targeted snippet.","with_reason","no fields; overrides methods to supply configuration","no","yes: no fields and no accessors; only overridden config methods returning literals","no",""
"10284","data class","critical","org.eclipse.jetty.util.ProcessorUtils","40","**2. Data Class Consideration** The class does not exhibit characteristics of a data class. It does not simply hold data with getters and setters; rather, it encapsulates logic for determining and overriding a static value. No issues here.","NEGATIVE-SIGNAL: The response explicitly denies the presence of the Data Class smell in the targeted snippet, which is confirmed by the oracle.","with_reason","encapsulates init/override logic, not just accessors","no","no","no",""
"10360","data class","major","com.ibm.dtfj.corereaders.zos.util.ObjectLruCache","58","**3. Data Class Concerns** While the class does maintain a single field (`Object[] values`) and provides accessors and mutators for it, it is not a pure data holder. The class encapsulates the logic for managing the value array in the context of the LRU cache, and all manipulation of the data is internal. There are no public getters or setters for the array itself, and the class does not simply expose its fields for external manipulation. The behavior is tightly coupled to the cache's intended …","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading given the oracle's ground truth.","with_reason","manages the value array internally; no public accessors","no","no","no",""
"10618","data class","critical","org.apache.cloudstack.api.response.DeploymentPlannersResponse","13","While this is not inherently problematic in the context of API response objects, it is worth noting that if more fields or logic are added in the future, care should be taken to ensure that the class does not remain a passive data holder. Instead, it should start to take on more responsibility for its own data, such as validation or transformation, to avoid becoming a ""data class"" in the sense described by Fowler (see [Refactoring: Data Class](https://refactoring.com/catalog/dataClass.html)).","The response explicitly denies the presence of the Data Class smell, which is confirmed by the oracle to be present (critical severity).","with_reason","acknowledged as a data holder but excused as an API response DTO","no","no","no",""
"10632","data class","critical","org.apache.hadoop.mapreduce.task.ReduceContextImpl.ValueIterable","7","**4. Data Class: No Evidence** The class itself is not a data class; it encapsulates significant behavior and state management. All fields are private, and the class exposes behavior rather than just getters/setters. No issues here.","The response explicitly denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","no_reason","","yes","no","no",""
"11149","data class","major","com.oracle.truffle.api.TruffleFile.Walker.Event","27","**4. Data Class Pattern Avoided Appropriately** - The `TruffleFile` class is not a passive data holder; it encapsulates both data (the file path and context) and a rich set of behaviors. There is no evidence of it being a mere data class. *No action needed.*","The response explicitly denies the presence of the Data Class smell in the targeted snippet, which is confirmed by the oracle, thus it is classified as Misleading.","not_discussed","","yes","no","no",""
"11205","data class","major","ms.tfs.workitemtracking.configurationsettingsservice._03._ConfigurationSettingsServiceSoapService","387","### Review Comments #### 1. Repetitive Method Structure Suggests Opportunity for Extraction Each public method that interacts with the SOAP service follows a nearly identical sequence: - Instantiate a request data object. - Create a `SOAPRequest` with a request writer that serializes the request data. - Instantiate a response data object. - Execute the request with a response reader that deserializes the response data. - Return a value from the response data (if applicable). For example, compar…","The response explicitly denies the presence of the target smell (Data Class) in the targeted snippet, which is confirmed by the oracle, so this is classified as Misleading.","with_reason","contains only behavior, not data plus accessors","no","no","no",""
"13785","data class","major","org.apache.royale.compiler.ant.config.ConfigBoolean","48","**2. Data and Behavior Encapsulation** The class encapsulates both data (the `enabled` and `isSet` fields) and the logic for interpreting and serializing its value. The `parseValue(String)` method is private and only used internally, and the state is only mutated through well-defined setters. There is no indication that this class is merely a passive data holder; instead, it owns the logic for interpreting string values and for serializing itself to a command-line argument. This is a good examp…","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","owns parseValue and the command-line serialization logic","no","no","no",""
"15059","data class","critical","org.springframework.aop.support.StaticMethodMatcherPointcutAdvisor","56","**3. Data Exposure and Behavior** While the class does have fields (`advice` and `order`) with corresponding getters and setters, it is not a passive data holder. The class defines behavior relevant to its domain (e.g., `isPerInstance`, `getPointcut`, and the contract of `PointcutAdvisor`). The presence of abstract behavior (inherited from `StaticMethodMatcherPointcut`) and the expectation that subclasses will provide matching logic means this is not a ""data class"" in the sense of being a mere …","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading given the oracle's ground truth.","with_reason","abstract class with domain behavior; subclasses supply matching logic","no","no","no",""
"622","feature envy","major","org.apache.zookeeper.graph.JsonGenerator.JsonGenerator LogIterator","139","**Conclusion** The primary concern is the excessive length and complexity of the constructor, which handles all parsing, state management, and JSON assembly in a single method. Extracting responsibilities into smaller, well-named methods will greatly improve the maintainability and clarity of the code. Additionally, removing unused code (such as the `Message` class) and considering separation of concerns between parsing and data holding will further enhance the design. No significant issues wer…","The response explicitly denies the presence of Feature Envy in the targeted snippet, which is confirmed by the oracle, so this is classified as Misleading.","no_reason","","yes","no","no",""
"641","feature envy","critical","org.apache.zookeeper.server.auth.KerberosName.Rule.replaceSubstitution String|Pattern|String|boolean","9","**3. Potential for Feature Envy in the `Rule.apply` Method** Within the `Rule.apply` method, the logic is tightly coupled to the structure of the `params` array, which is constructed externally in `KerberosName.getShortName`. The method expects the first element to be the realm, and subsequent elements to be the service and host. This tight coupling means that any change to how `params` is constructed in `KerberosName` must be mirrored in `Rule`, and vice versa. While this is not a classic case…","The response explicitly denies the presence of Feature Envy (the confirmed oracle smell) in the targeted snippet, which is misleading.","no_reason","","yes","no","no",""
"761","feature envy","major","org.eclipse.kapua.service.authorization.group.shiro.GroupServiceImpl#onKapuaEvent ServiceEvent","10","**3. No Evidence of Data Class or Feature Envy Smells** The class itself is not a data holder; it encapsulates business logic and delegates persistence to DAOs. There is no evidence of ""data class"" smells, as the class does not simply expose fields with getters/setters. Similarly, while the methods interact with other services and DAOs, they do so in a way that is consistent with a service-layer orchestration role, rather than exhibiting ""feature envy"" (i.e., manipulating the internals of anoth…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","service-layer orchestration; collaborator access is legitimate","yes","no","no",""
"805","feature envy","major","org.eclipse.orion.server.cf.loggregator.LoggregatorMessage.Message.Builder#mergeFrom com.google.protobuf.CodedInputStream|com.google.protobuf.ExtensionRegistryLite","66","**Review Comments** 1. **Class Structure and Responsibility** The `LoggregatorMessage` class and its nested types (`Message`, `Envelope`, and their builders) are tightly focused on representing and transporting structured data as defined by the protobuf schema. There is no domain logic or business behavior beyond serialization, deserialization, and field access. This is expected and appropriate for generated protobuf classes, which are intended to be data carriers. **No issues found here.** 2. …","The response explicitly denies the presence of Feature Envy in the targeted snippet, which is misleading given the oracle confirms this smell is present.","with_reason","operates on own fields and schema-defined nested types; generated code","no","no","no",""
"1952","feature envy","major","org.apache.accumulo.server.util.ListVolumesUsed.listZookeeper ServerContext","15","**4. No Evidence of Feature Envy or Data Class Issues** The methods in this class do not exhibit ""feature envy""—they do not manipulate the internals of other objects beyond what is exposed by their APIs. Similarly, there are no data classes present in this file; all logic is procedural and operates on external data.","The response denies the presence of the confirmed target smell (Feature Envy) in the targeted snippet, which is misleading per the oracle.","with_reason","uses only the public APIs of collaborators, not their internals","yes","no","no",""
"3061","feature envy","critical","com.oracle.bmc.budget.model.CreateBudgetDetails.Builder#build","14","**3. No Evidence of Methods Operating on Other Classes' Data** There are no methods in `CreateBudgetDetails` (or its builder) that operate on data belonging to other classes. All logic is confined to setting or copying its own fields. There is no sign of ""feature envy"" where a method is more interested in another class's data than its own. *Evidence:* - All methods in the builder set fields on the builder itself. - The outer class has no methods beyond those generated by Lombok. *Why it matters…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","logic confined to setting and copying its own fields","no","no","no",""
"3063","feature envy","major","org.apache.tinkerpop.gremlin.process.traversal.util.TraversalUtil.applyAll S|Traversal.Admin<S, E>","5","**4. No Evidence of Feature Envy** All methods in `TraversalUtil` operate on the traversal and traverser objects passed to them, but do not excessively manipulate the internals of those objects beyond what is necessary for orchestration. The logic is appropriate for a utility class whose purpose is to coordinate the use of these objects. There is no clear case where a method would be better placed on another class.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the codebook.","with_reason","utility class orchestrating passed-in objects; no excessive access to internals","no","no","no",""
"3845","feature envy","critical","org.apache.commons.beanutils2.PropertyUtils.getPropertyEditorClass Object|String","7","**3. No Feature Envy Observed** Since all methods simply delegate to `PropertyUtilsBean`, there is no logic here that manipulates data from another class in a way that would indicate ""feature envy."" The class does not operate on any data of its own or of others; it simply passes arguments through. *Evidence*: No method in this class accesses fields or methods of any object except to delegate to `PropertyUtilsBean`. *Why it matters*: Feature envy is not present, as there is no logic here that ""w…","The response explicitly denies the presence of Feature Envy in the targeted snippet, which is confirmed by the oracle to be present (critical severity), thus triggering the Misleading category.","with_reason","pure static facade; delegates without logic of its own","no","no","no",""
"3877","feature envy","major","com.google.javascript.rhino.jstype.AllType#recursionUnsafeHashCode","4","**3. No Feature Envy Observed** None of the methods in `AllType` operate on data from other classes in a way that would suggest they belong elsewhere. All logic is self-contained or appropriately delegated via the visitor pattern. *Evidence*: - No method accesses or manipulates data from other objects beyond what is expected for visitor delegation. *Why it matters*: This keeps the class cohesive and prevents logic from being scattered across unrelated classes. *Suggestion*: No changes needed he…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","logic stays in the class; visitor delegation is cohesive","no","yes: 4-line override returning System.identityHashCode(this); accesses no other class's data","no",""
"3904","feature envy","major","org.apache.cayenne.exp.parser.ASTEqual.evaluateImpl Object|Object","22","**4. No Evidence of Feature Envy** All methods operate on the node's own children or on arguments passed in, and do not excessively manipulate data from other classes. The evaluation logic delegates to `Evaluator` as appropriate, but this is a reasonable use of delegation rather than a sign of misplaced behavior. *No action needed.*","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","operates on own children and arguments; delegation to Evaluator is reasonable","yes","no","no",""
"4060","feature envy","major","org.apache.isis.schema.services.jaxb.JaxbServiceDefault#configure Marshaller","7","**4. No Evidence of Feature Envy** All methods operate primarily on the class's own dependencies (`serviceRegistry`, `metaModelService5`) and the parameters passed to them. There is no indication that any method is more interested in the internals of another class than its own. The logic for handling `DomainObjectList` is arguably complex, but it is appropriate for this service layer, given its responsibility for marshalling and unmarshalling.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","operates on own dependencies (serviceRegistry) and parameters","yes","no","no",""
"4255","feature envy","major","org.apache.cxf.wsn.client.CreatePullPoint#create String","7","**4. Method Location and Data Usage** All methods operate primarily on the class's own fields (`createPullPoint` and `epr`). There is no evidence of methods that are more interested in the data of other classes than their own. The logic for constructing requests and invoking the service is appropriately placed here, given the class's responsibility as a client helper. There is no sign of ""feature envy"" where methods would be better located elsewhere.","The response explicitly denies the presence of the confirmed Feature Envy smell in the targeted method, which is misleading per the oracle.","with_reason","operates on own fields; placement fits a client helper","no","no","no",""
"5129","feature envy","major","org.eclipse.tycho.p2.target.filters.TargetPlatformFilterEvaluator.DebugFilterLogger#unitKept IInstallableUnit","5","**Summary** Overall, the class is well-structured and avoids most major code smells, but there are opportunities to improve cohesion and reduce method length by extracting logic into helper methods and moving more behavior into the pattern class. This would make the code easier to maintain and extend, and would better align with object-oriented design principles.","The response does not mention Feature Envy (the target smell) in the targeted snippet and explicitly downplays the presence of major code smells, which is misleading given the oracle's confirmed presence of Feature Envy.","not_discussed","","yes","no","yes: review paraphrases Move Method for ParsedCapabilityPattern without naming Feature Envy; judge stopped at Step 6 instead of Step 2",""
"5410","feature envy","major","org.apache.directory.api.ldap.model.schema.registries.ImmutableComparatorRegistry#iterator","5","**3. No evidence of long methods or feature envy** All methods in this class are short and focused, either delegating to the wrapped registry or throwing an exception. There are no long methods or methods that operate extensively on data from other classes. The class does not exhibit ""feature envy"" as described by Fowler.","The response denies the presence of Feature Envy in the targeted snippet, which is a confirmed smell per the oracle.","with_reason","thin immutability wrapper; methods delegate to the wrapped registry","no","no","no",""
"5666","feature envy","major","org.eclipse.birt.core.fs.LocalFile#mkdirs","5","**3. No evidence of methods operating on data from other classes (""feature envy"")** All methods in `LocalFile` operate on the encapsulated `File` instance. There is no sign of methods that manipulate data from other objects or reach into other classes' internals. Evidence: - All logic is centered around the `file` field. - No method takes another domain object and manipulates its data. Why it matters: - This is a positive aspect; the class maintains its own responsibilities and does not exhibit…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","adapter over java.io.File; class keeps its own responsibilities","no","no","no",""
"5787","feature envy","major","org.apache.poi.xssf.model.TestCommentsTable#writeRead","48","**3. No Evidence of Feature Envy or Data Class Issues** The test class itself does not exhibit ""feature envy"" (methods that operate primarily on data from other classes) or ""data class"" (classes that only hold data with no behavior) smells. The helper methods operate on POI model objects, but this is expected in a test context, and the logic is not complex enough to warrant moving behavior elsewhere. The class is not a data holder.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","test context; operating on POI model objects is expected","yes","no","no",""
"6154","feature envy","major","org.apache.asterix.dataflow.data.nontagged.serde.AGeometrySerializerDeserializer#serialize AGeometry|DataOutput","13","**3. No Evidence of Feature Envy or Data Class Issues** Both methods operate primarily on their own parameters and internal logic, without excessive reliance on the internals of other classes. The class itself is not a data holder; it encapsulates behavior and does not expose fields or getters/setters. There is no evidence of ""feature envy"" (methods that seem to belong elsewhere) or ""data class"" (classes that are just dumb data holders) issues in this implementation.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","operates on own parameters and internal logic","yes","no","no",""
"6390","feature envy","major","org.eclipse.birt.report.designer.ui.ide.navigator.GenerateDocumentAction#run IAction","49","**3. The Method Shows Some Interest in External Data, but Not Excessively** The `run` method interacts with several external classes (`ReportPlugin`, `ElementAdapterManager`, `WebViewer`, etc.), but it does so in a way that is appropriate for an action handler. There is no evidence that the method is overly interested in the internals of another class (i.e., no ""feature envy"" smell). The method does not manipulate the internal state of other objects beyond what is necessary for its orchestratio…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","external interaction is appropriate for an action handler","yes","no","no",""
